PC_IN  CLR    UP     WPC    DW     SP     PC_OUT 
0000   1      0      0      0      000    0000   
0000   0      0      0      0      000    0000   
0000   0      0      0      0      000    0001   
0000   0      0      0      0      000    0002   
0510   0      1      1      0      000    0003   
0000   0      0      0      0      001    0510   
0000   0      0      0      0      001    0511   
0000   0      0      0      0      001    0512   
0020   0      0      1      0      001    0513   
0100   0      1      1      0      001    0020   
0000   0      0      0      0      010    0100   
0000   0      0      0      0      010    0101   
0000   0      0      0      0      010    0102   
0000   0      0      0      1      010    0103   
0000   0      0      0      0      001    0021   
0000   0      0      0      0      001    0022   
0000   0      0      0      1      001    0023   
0000   0      0      0      0      000    0004   
0000   0      0      0      1      000    0005   
